kindName;otherKindName;count;count_unique;min_time;max_time;avg_time
taskNew;taskDelivered;;1;1556949742000;1556949742000;1556949742000.0
taskDelivered;taskOperation;;1;1556949742000;1556949742000;1556949742000.0
taskOperation;taskCostSpent;;1;1556949742000;1556949742000;1556949742000.0
taskCostSpent;taskAssigned;;1;1556950460000;1556950460000;1556950460000.0
taskAssigned;taskCostSpent;;1;1556949742000;1556949742000;1556949742000.0
taskCostSpent;taskNew;;1;1556950460000;1556950460000;1556950460000.0
taskNew;taskDelivered;;2;1556949901000;1556949901000;1556949901000.0
taskDelivered;taskOperation;;2;1556949901000;1556949901000;1556949901000.0
taskOperation;taskCostSpent;;2;1556949901000;1556949901000;1556949901000.0
taskCostSpent;taskAssigned;;2;1556950570000;1556950570000;1556950570000.0
taskAssigned;taskCostSpent;;2;1556949901000;1556949901000;1556949901000.0
taskCostSpent;taskNew;;2;1556950570000;1556950570000;1556950570000.0
taskNew;taskDelivered;;3;1556950164000;1556950164000;1556950164000.0
taskDelivered;taskOperation;;3;1556950164000;1556950164000;1556950164000.0
taskOperation;taskCostSpent;;3;1556950164000;1556950164000;1556950164000.0
taskCostSpent;taskAssigned;;3;1556950947000;1556950947000;1556950947000.0
taskAssigned;taskCostSpent;;3;1556950164000;1556950164000;1556950164000.0
taskCostSpent;taskNew;;3;1556950947000;1556950947000;1556950947000.0
taskNew;taskDelivered;;4;1556950340000;1556950340000;1556950340000.0
taskDelivered;taskOperation;;4;1556950340000;1556950340000;1556950340000.0
taskOperation;taskCostSpent;;4;1556950340000;1556950340000;1556950340000.0
taskCostSpent;taskAssigned;;4;1556951048000;1556951048000;1556951048000.0
taskAssigned;taskCostSpent;;4;1556950340000;1556950340000;1556950340000.0
taskCostSpent;taskComplete;;4;1556951048000;1556951048000;1556951048000.0
taskComplete;taskDelivered;;1;1556950460000;1556950460000;1556950460000.0
taskDelivered;taskOperation;;1;1556950520000;1556950520000;1556950520000.0
taskOperation;taskSupported;;1;1556950520000;1556950520000;1556950520000.0
taskSupported;taskSupported;;1;1556951120000;1556951120000;1556951120000.0
taskSupported;taskCostSpent;;1;1556951120000;1556951120000;1556951120000.0
taskCostSpent;taskNew;;1;1556951120000;1556951120000;1556951120000.0
